"workerid","occludeUtterance","occludeWheel","utteranceID","utterance","spinnerID","payoff1","payoff2","payoff3","prob1","prob2","prob3","win","winProb","angleProp","EV","PE","absPE","happy","sad","anger","surprise","disgust","fear","content","disapp"
105,0,1,4,"wow",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2,1,7,2,1,5,5
16,0,1,5,"man",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,7,5,4,4,2,3,8
138,0,1,4,"wow",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,1,8,1,1,6,2
87,0,1,10,"yikes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,2,7,6,1,1,7
8,0,1,3,"yay",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,1,1,5,1,1,8,1
95,0,1,7,"damn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,8,7,7,1,5,9
134,0,1,5,"man",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,7,4,3,7,6,1,8
28,0,1,2,"awesome",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1,1,8,1,1,9,1
51,0,1,8,"dang",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,7,7,1,8,1,7,9
24,0,1,4,"wow",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,4,1,4,1,1,4,3
119,0,1,10,"yikes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,9,1,1,1,3
128,0,1,3,"yay",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,1,4,1,1,1,1
107,0,1,8,"dang",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,9,5,1,7,1,1,9
53,0,1,8,"dang",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,3,2,1,7,7
99,0,1,9,"meh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2,2,8,2,4,7,2
113,0,1,2,"awesome",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,1,1,5,1,1,1,1
72,0,1,6,"oh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,2,7,1,1,3,6
90,0,1,7,"damn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,1,4,1,1,1,8
23,0,1,8,"dang",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,9,2,6,8,4,2,9
132,0,1,3,"yay",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,1,1,7,1,1,8,1
82,0,1,3,"yay",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,1,8,1,1,9,1
32,0,1,3,"yay",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,1,6,1,1,9,1
48,0,1,4,"wow",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,1,9,1,1,8,1
123,0,1,9,"meh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,4,1,1,1,4,6
89,0,1,10,"yikes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,8,5,4,6,1,1,8
38,0,1,3,"yay",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2,1,2,1,1,8,4
86,0,1,4,"wow",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,6,7,6,2,3,7
111,0,1,1,"cool",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,1,1,1,1,8,1
35,0,1,4,"wow",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,1,6,1,1,5,2
58,0,1,3,"yay",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2,2,5,1,1,7,2
15,0,1,7,"damn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,5,6,6,1,1,9
5,0,1,5,"man",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7,8,7,1,1,1,7
3,0,1,8,"dang",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,7,6,4,4,1,3,8
76,0,1,9,"meh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,4,1,2,1,1,7
126,0,1,1,"cool",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,1,2,3,1,7,5
109,0,1,6,"oh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,2,2,4,6
27,0,1,5,"man",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,1,3,1,1,1,7
78,0,1,6,"oh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,9,7,8,7,4,5,9
