"workerid","occludeFace","occludeWheel","faceID","faceValence","faceArousal","facePath","spinnerID","payoff1","payoff2","payoff3","prob1","prob2","prob3","win","winProb","angleProp","EV","PE","absPE","happy","sad","anger","surprise","disgust","fear","content","disapp"
359,0,0,27,2,3,"face_2_3_1",12,20,45,70,0.4,0.34,0.26,70,0.26,0.2,41.5,28.5,28.5,8,1,1,8,1,1,9,1
250,0,0,37,4,5,"aface_2",14,30,50,95,0.33,0.29,0.38,50,0.29,0.854,60.5,-10.5,10.5,1,1,9,1,8,1,1,8
209,0,0,23,-2,3,"face_-2_3_1",24,20,60,90,0.33,0.2,0.47,90,0.47,0.139,60.9,29.1,29.1,5,5,5,2,2,1,3,5
69,0,0,17,-1,2,"face_-1_2_1",9,15,70,80,0.45,0.29,0.26,80,0.26,0.304,47.85,32.15,32.15,8,1,1,9,1,1,1,1
143,0,0,17,-1,2,"face_-1_2_1",16,25,60,100,0.45,0.37,0.18,25,0.45,0.723,51.45,-26.45,26.45,2,7,3,2,4,1,1,7
232,0,0,9,-2,1,"face_-2_1_1",16,25,60,100,0.45,0.37,0.18,25,0.45,0.242,51.45,-26.45,26.45,1,2,1,1,2,2,5,2
63,0,0,27,2,3,"face_2_3_1",12,20,45,70,0.4,0.34,0.26,70,0.26,0.813,41.5,28.5,28.5,9,1,1,9,1,1,9,1
308,0,0,41,4,9,"aface_6",1,0,30,60,0.38,0.36,0.26,0,0.38,0.926,26.4,-26.4,26.4,1,9,2,2,1,1,1,9
223,0,0,13,2,1,"face_2_1_1",12,20,45,70,0.4,0.34,0.26,70,0.26,0.286,41.5,28.5,28.5,9,1,1,8,1,1,9,1
432,0,0,23,-2,3,"face_-2_3_1",12,20,45,70,0.4,0.34,0.26,70,0.26,0.97,41.5,28.5,28.5,7,1,1,6,1,1,7,1
424,0,0,13,2,1,"face_2_1_1",16,25,60,100,0.45,0.37,0.18,25,0.45,0.926,51.45,-26.45,26.45,1,9,6,6,1,1,1,8
402,0,0,38,4,6,"aface_3",9,15,70,80,0.45,0.29,0.26,80,0.26,0.322,47.85,32.15,32.15,6,1,1,9,1,1,9,1
176,0,0,39,4,7,"aface_4",1,0,30,60,0.38,0.36,0.26,0,0.38,0.822,26.4,-26.4,26.4,4,1,3,1,6,1,1,5
131,0,0,17,-1,2,"face_-1_2_1",16,25,60,100,0.45,0.37,0.18,25,0.45,0.85,51.45,-26.45,26.45,3,7,2,7,5,2,2,6
34,0,0,38,4,6,"aface_3",47,55,70,85,0.28,0.51,0.21,70,0.51,0.867,68.95,1.05,1.05,6,1,1,1,1,9,6,1
255,0,0,38,4,6,"aface_3",14,30,50,95,0.33,0.29,0.38,50,0.29,0.631,60.5,-10.5,10.5,7,2,2,3,2,2,7,3
462,0,0,9,-2,1,"face_-2_1_1",49,50,75,90,0.3,0.52,0.18,50,0.3,0.222,70.2,-20.2,20.2,2,7,3,6,3,2,1,8
218,0,0,38,4,6,"aface_3",1,0,30,60,0.38,0.36,0.26,0,0.38,0.379,26.4,-26.4,26.4,5,1,1,3,1,1,1,3
33,0,0,38,4,6,"aface_3",41,0,40,95,0.27,0.4,0.33,40,0.4,0.35,47.35,-7.35,7.35,5,1,1,4,1,1,1,1
446,0,0,17,-1,2,"face_-1_2_1",9,15,70,80,0.45,0.29,0.26,80,0.26,0.654,47.85,32.15,32.15,6,1,1,8,1,1,8,1
92,0,0,17,-1,2,"face_-1_2_1",47,55,70,85,0.28,0.51,0.21,70,0.51,0.536,68.95,1.05,1.05,3,1,1,5,1,1,4,1
429,0,0,38,4,6,"aface_3",1,0,30,60,0.38,0.36,0.26,0,0.38,0.9,26.4,-26.4,26.4,1,5,4,4,4,1,3,6
259,0,0,9,-2,1,"face_-2_1_1",49,50,75,90,0.3,0.52,0.18,50,0.3,0.919,70.2,-20.2,20.2,2,4,1,2,2,1,9,5
393,0,0,9,-2,1,"face_-2_1_1",14,30,50,95,0.33,0.29,0.38,50,0.29,0.649,60.5,-10.5,10.5,3,4,4,6,7,3,2,8
76,0,0,9,-2,1,"face_-2_1_1",16,25,60,100,0.45,0.37,0.18,25,0.45,0.061,51.45,-26.45,26.45,4,5,4,3,4,1,3,5
188,0,0,36,4,4,"aface_1",1,0,30,60,0.38,0.36,0.26,0,0.38,0.905,26.4,-26.4,26.4,1,3,3,3,7,1,1,8
117,0,0,37,4,5,"aface_2",14,30,50,95,0.33,0.29,0.38,50,0.29,0.163,60.5,-10.5,10.5,3,1,4,4,1,1,1,3
285,0,0,13,2,1,"face_2_1_1",49,50,75,90,0.3,0.52,0.18,50,0.3,0.473,70.2,-20.2,20.2,5,2,1,1,1,1,4,3
345,0,0,27,2,3,"face_2_3_1",1,0,30,60,0.38,0.36,0.26,0,0.38,0.246,26.4,-26.4,26.4,1,9,4,7,3,1,3,8
210,0,0,39,4,7,"aface_4",41,0,40,95,0.27,0.4,0.33,40,0.4,0.319,47.35,-7.35,7.35,5,4,3,6,5,2,2,5
360,0,0,19,1,2,"face_1_2_1",24,20,60,90,0.33,0.2,0.47,90,0.47,0.375,60.9,29.1,29.1,6,4,3,4,3,4,3,5
54,0,0,9,-2,1,"face_-2_1_1",41,0,40,95,0.27,0.4,0.33,40,0.4,0.447,47.35,-7.35,7.35,5,5,5,5,4,1,1,4
399,0,0,39,4,7,"aface_4",16,25,60,100,0.45,0.37,0.18,25,0.45,0.186,51.45,-26.45,26.45,4,7,4,4,7,1,2,7
409,0,0,40,4,8,"aface_5",24,20,60,90,0.33,0.2,0.47,90,0.47,0.709,60.9,29.1,29.1,9,1,1,1,1,1,9,1
387,0,0,13,2,1,"face_2_1_1",24,20,60,90,0.33,0.2,0.47,90,0.47,0.968,60.9,29.1,29.1,4,1,1,6,1,1,8,1
20,0,0,39,4,7,"aface_4",16,25,60,100,0.45,0.37,0.18,25,0.45,0.546,51.45,-26.45,26.45,4,7,5,3,7,4,6,6
129,0,0,40,4,8,"aface_5",9,15,70,80,0.45,0.29,0.26,80,0.26,0.84,47.85,32.15,32.15,8,2,2,7,2,1,9,1
253,0,0,9,-2,1,"face_-2_1_1",14,30,50,95,0.33,0.29,0.38,50,0.29,0.121,60.5,-10.5,10.5,2,6,7,3,7,2,1,6
278,0,0,36,4,4,"aface_1",14,30,50,95,0.33,0.29,0.38,50,0.29,0.394,60.5,-10.5,10.5,7,1,1,5,1,1,5,1
423,0,0,19,1,2,"face_1_2_1",24,20,60,90,0.33,0.2,0.47,90,0.47,0.35,60.9,29.1,29.1,7,1,1,4,1,1,1,1
