"workerid","occludeFace","occludeWheel","faceID","faceValence","faceArousal","facePath","spinnerID","payoff1","payoff2","payoff3","prob1","prob2","prob3","win","winProb","angleProp","EV","PE","absPE","happy","sad","anger","surprise","disgust","fear","content","disapp"
82,0,1,29,-3,4,"face_-3_4_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,7,7,3,1,2,8
358,0,1,7,3,0,"face_3_0_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,1,1,4,1,1,8,1
327,0,1,4,0,0,"face_0_0_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,5,5,5,5
461,0,1,7,3,0,"face_3_0_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2,2,4,2,2,6,2
309,0,1,32,0,4,"face_0_4_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,5,9,4,5,5,5
124,0,1,1,-3,0,"face_-3_0_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,1,7,1,1,7,1
416,0,1,29,-3,4,"face_-3_4_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7,8,7,7,2,1,8
448,0,1,35,3,4,"face_3_4_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,3,3,7,3,3,5,3
138,0,1,32,0,4,"face_0_4_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,1,9,1,2,8,1
51,0,1,1,-3,0,"face_-3_0_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7,3,1,5,1,1,7
14,0,1,35,3,4,"face_3_4_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1,1,5,1,1,5,1
203,0,1,36,4,4,"aface_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,2,2,1,1,5,4
139,0,1,13,2,1,"face_2_1_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,3,2,4,2,2,6,3
