"workerid","occludeUtterance","occludeWheel","utteranceID","utterance","spinnerID","payoff1","payoff2","payoff3","prob1","prob2","prob3","win","winProb","angleProp","EV","PE","absPE","happy","sad","anger","surprise","disgust","fear","content","disapp"
127,0,0,4,"wow",24,20,60,90,0.33,0.2,0.47,90,0.47,0.258,60.9,29.1,29.1,9,1,1,7,1,1,9,1
41,0,0,7,"damn",9,15,70,80,0.45,0.29,0.26,80,0.26,0.002,47.85,32.15,32.15,5,2,2,4,1,1,1,3
69,0,0,4,"wow",24,20,60,90,0.33,0.2,0.47,90,0.47,0.325,60.9,29.1,29.1,9,1,1,9,1,1,9,1
82,0,0,6,"oh",1,0,30,60,0.38,0.36,0.26,0,0.38,0.831,26.4,-26.4,26.4,1,9,6,7,2,1,1,9
54,0,0,2,"awesome",41,0,40,95,0.27,0.4,0.33,40,0.4,0.356,47.35,-7.35,7.35,5,3,2,5,1,1,3,4
80,0,0,7,"damn",14,30,50,95,0.33,0.29,0.38,50,0.29,0.261,60.5,-10.5,10.5,5,7,6,1,3,1,5,9
88,0,0,8,"dang",14,30,50,95,0.33,0.29,0.38,50,0.29,0.615,60.5,-10.5,10.5,4,6,6,4,8,1,1,9
117,0,0,10,"yikes",24,20,60,90,0.33,0.2,0.47,90,0.47,0.125,60.9,29.1,29.1,6,2,2,7,2,1,5,2
52,0,0,1,"cool",47,55,70,85,0.28,0.51,0.21,70,0.51,0.619,68.95,1.05,1.05,8,1,1,6,1,1,9,2
63,0,0,8,"dang",32,45,60,90,0.52,0.29,0.19,60,0.29,0.028,57.9,2.1,2.1,8,1,1,6,1,1,9,1
139,0,0,2,"awesome",32,45,60,90,0.52,0.29,0.19,60,0.29,0.019,57.9,2.1,2.1,8,2,1,8,2,2,8,1
6,0,0,4,"wow",24,20,60,90,0.33,0.2,0.47,90,0.47,0.587,60.9,29.1,29.1,9,1,1,9,1,1,9,1
145,0,0,1,"cool",14,30,50,95,0.33,0.29,0.38,50,0.29,0.43,60.5,-10.5,10.5,9,1,1,7,1,1,7,3
20,0,0,6,"oh",32,45,60,90,0.52,0.29,0.19,60,0.29,0.022,57.9,2.1,2.1,4,5,3,4,3,2,3,6
84,0,0,10,"yikes",47,55,70,85,0.28,0.51,0.21,70,0.51,0.353,68.95,1.05,1.05,5,5,5,5,5,5,5,5
86,0,0,10,"yikes",41,0,40,95,0.27,0.4,0.33,40,0.4,0.479,47.35,-7.35,7.35,4,4,3,6,3,7,6,3
130,0,0,7,"damn",12,20,45,70,0.4,0.34,0.26,70,0.26,0.163,41.5,28.5,28.5,3,7,8,4,6,1,3,8
2,0,0,10,"yikes",12,20,45,70,0.4,0.34,0.26,70,0.26,0.502,41.5,28.5,28.5,5,1,1,6,2,1,5,3
66,0,0,4,"wow",1,0,30,60,0.38,0.36,0.26,0,0.38,0.829,26.4,-26.4,26.4,1,9,7,7,4,2,1,9
15,0,0,8,"dang",9,15,70,80,0.45,0.29,0.26,80,0.26,0.477,47.85,32.15,32.15,9,1,1,7,1,1,5,5
64,0,0,10,"yikes",12,20,45,70,0.4,0.34,0.26,70,0.26,0.166,41.5,28.5,28.5,8,1,1,9,1,1,9,1
137,0,0,4,"wow",24,20,60,90,0.33,0.2,0.47,90,0.47,0.671,60.9,29.1,29.1,8,1,1,9,1,1,5,1
30,0,0,10,"yikes",41,0,40,95,0.27,0.4,0.33,40,0.4,0.601,47.35,-7.35,7.35,4,6,6,7,7,1,3,8
12,0,0,6,"oh",1,0,30,60,0.38,0.36,0.26,0,0.38,0.372,26.4,-26.4,26.4,1,7,2,7,1,1,1,9
126,0,0,4,"wow",16,25,60,100,0.45,0.37,0.18,25,0.45,0.23,51.45,-26.45,26.45,6,3,2,2,4,1,6,5
109,0,0,9,"meh",41,0,40,95,0.27,0.4,0.33,40,0.4,0.301,47.35,-7.35,7.35,4,4,4,3,5,2,3,5
93,0,0,6,"oh",9,15,70,80,0.45,0.29,0.26,80,0.26,0.365,47.85,32.15,32.15,5,1,1,3,1,1,5,5
59,0,0,10,"yikes",14,30,50,95,0.33,0.29,0.38,50,0.29,0.503,60.5,-10.5,10.5,4,3,3,5,1,1,2,6
144,0,0,4,"wow",16,25,60,100,0.45,0.37,0.18,25,0.45,0.271,51.45,-26.45,26.45,6,1,1,8,1,1,6,2
27,0,0,1,"cool",1,0,30,60,0.38,0.36,0.26,0,0.38,0.476,26.4,-26.4,26.4,5,1,1,2,1,1,5,6
149,0,0,1,"cool",1,0,30,60,0.38,0.36,0.26,0,0.38,0.262,26.4,-26.4,26.4,1,4,1,5,2,1,1,6
105,0,0,10,"yikes",9,15,70,80,0.45,0.29,0.26,80,0.26,0.943,47.85,32.15,32.15,7,1,1,8,1,1,7,1
112,0,0,10,"yikes",9,15,70,80,0.45,0.29,0.26,80,0.26,0.925,47.85,32.15,32.15,2,7,4,8,7,3,2,8
138,0,0,8,"dang",16,25,60,100,0.45,0.37,0.18,25,0.45,0.291,51.45,-26.45,26.45,3,5,5,2,3,1,3,5
8,0,0,5,"man",24,20,60,90,0.33,0.2,0.47,90,0.47,0.89,60.9,29.1,29.1,5,5,5,5,5,1,5,5
95,0,0,10,"yikes",9,15,70,80,0.45,0.29,0.26,80,0.26,0.594,47.85,32.15,32.15,1,7,3,6,8,1,6,8
147,0,0,2,"awesome",9,15,70,80,0.45,0.29,0.26,80,0.26,0.894,47.85,32.15,32.15,9,1,1,7,1,1,9,1
62,0,0,10,"yikes",16,25,60,100,0.45,0.37,0.18,25,0.45,0.374,51.45,-26.45,26.45,5,3,2,6,1,1,6,4
150,0,0,5,"man",12,20,45,70,0.4,0.34,0.26,70,0.26,0.938,41.5,28.5,28.5,4,1,1,7,1,1,4,2
10,0,0,7,"damn",16,25,60,100,0.45,0.37,0.18,25,0.45,0.567,51.45,-26.45,26.45,2,6,6,3,7,1,1,8
148,0,0,1,"cool",32,45,60,90,0.52,0.29,0.19,60,0.29,0.761,57.9,2.1,2.1,5,5,5,4,5,5,5,5
106,0,0,5,"man",12,20,45,70,0.4,0.34,0.26,70,0.26,0.138,41.5,28.5,28.5,9,1,1,4,1,1,1,1
24,0,0,2,"awesome",32,45,60,90,0.52,0.29,0.19,60,0.29,0.944,57.9,2.1,2.1,6,2,1,5,1,1,7,3
146,0,0,4,"wow",12,20,45,70,0.4,0.34,0.26,70,0.26,0.967,41.5,28.5,28.5,8,2,6,5,2,2,7,2
37,0,0,1,"cool",24,20,60,90,0.33,0.2,0.47,90,0.47,0.581,60.9,29.1,29.1,9,1,1,9,1,1,9,1
94,0,0,1,"cool",1,0,30,60,0.38,0.36,0.26,0,0.38,0.967,26.4,-26.4,26.4,2,5,1,4,1,1,5,5
143,0,0,6,"oh",1,0,30,60,0.38,0.36,0.26,0,0.38,0.652,26.4,-26.4,26.4,1,9,6,6,7,7,7,8
53,0,0,6,"oh",47,55,70,85,0.28,0.51,0.21,70,0.51,0.983,68.95,1.05,1.05,9,1,1,7,1,1,8,1
99,0,0,8,"dang",41,0,40,95,0.27,0.4,0.33,40,0.4,0.489,47.35,-7.35,7.35,3,7,7,7,7,5,2,8
104,0,0,1,"cool",41,0,40,95,0.27,0.4,0.33,40,0.4,0.62,47.35,-7.35,7.35,6,3,4,7,4,5,5,4
123,0,0,5,"man",47,55,70,85,0.28,0.51,0.21,70,0.51,0.862,68.95,1.05,1.05,5,1,3,1,1,1,5,3
63,0,0,6,"oh",24,20,60,90,0.33,0.2,0.47,90,0.47,0.53,60.9,29.1,29.1,9,1,1,9,1,1,9,1
4,0,0,1,"cool",49,50,75,90,0.3,0.52,0.18,50,0.3,0.767,70.2,-20.2,20.2,9,1,1,4,1,1,5,1
89,0,0,9,"meh",12,20,45,70,0.4,0.34,0.26,70,0.26,0.509,41.5,28.5,28.5,6,1,1,5,1,1,3,1
131,0,0,2,"awesome",9,15,70,80,0.45,0.29,0.26,80,0.26,0.83,47.85,32.15,32.15,9,1,1,7,1,1,9,1
57,0,0,9,"meh",24,20,60,90,0.33,0.2,0.47,90,0.47,0.604,60.9,29.1,29.1,9,1,1,2,1,1,6,1
116,0,0,1,"cool",41,0,40,95,0.27,0.4,0.33,40,0.4,0.763,47.35,-7.35,7.35,7,4,3,4,2,2,4,2
13,0,0,2,"awesome",49,50,75,90,0.3,0.52,0.18,50,0.3,0.151,70.2,-20.2,20.2,7,2,2,6,1,1,4,1
125,0,0,2,"awesome",12,20,45,70,0.4,0.34,0.26,70,0.26,0.978,41.5,28.5,28.5,9,1,2,7,1,2,9,1
86,0,0,6,"oh",12,20,45,70,0.4,0.34,0.26,70,0.26,0.168,41.5,28.5,28.5,7,3,4,3,2,1,6,2
2,0,0,2,"awesome",9,15,70,80,0.45,0.29,0.26,80,0.26,0.712,47.85,32.15,32.15,8,1,1,6,1,1,6,2
111,0,0,5,"man",41,0,40,95,0.27,0.4,0.33,40,0.4,0.616,47.35,-7.35,7.35,1,4,4,1,5,1,8,9
66,0,0,5,"man",9,15,70,80,0.45,0.29,0.26,80,0.26,0.182,47.85,32.15,32.15,9,1,1,9,1,1,9,1
64,0,0,1,"cool",47,55,70,85,0.28,0.51,0.21,70,0.51,0.27,68.95,1.05,1.05,9,1,1,9,1,1,9,1
12,0,0,7,"damn",12,20,45,70,0.4,0.34,0.26,70,0.26,0.435,41.5,28.5,28.5,8,1,1,8,1,1,3,1
26,0,0,10,"yikes",41,0,40,95,0.27,0.4,0.33,40,0.4,0.139,47.35,-7.35,7.35,6,3,1,8,2,4,3,7
68,0,0,6,"oh",47,55,70,85,0.28,0.51,0.21,70,0.51,0.203,68.95,1.05,1.05,6,2,2,7,1,1,6,4
93,0,0,8,"dang",47,55,70,85,0.28,0.51,0.21,70,0.51,0.708,68.95,1.05,1.05,3,6,6,5,6,1,4,7
78,0,0,2,"awesome",32,45,60,90,0.52,0.29,0.19,60,0.29,0.541,57.9,2.1,2.1,7,2,2,6,2,2,2,3
105,0,0,9,"meh",12,20,45,70,0.4,0.34,0.26,70,0.26,0.245,41.5,28.5,28.5,3,4,1,3,2,1,2,7
16,0,0,2,"awesome",41,0,40,95,0.27,0.4,0.33,40,0.4,0.646,47.35,-7.35,7.35,6,2,2,4,2,2,7,2
87,0,0,9,"meh",24,20,60,90,0.33,0.2,0.47,90,0.47,0.95,60.9,29.1,29.1,1,1,1,1,9,1,5,1
110,0,0,1,"cool",16,25,60,100,0.45,0.37,0.18,25,0.45,0.861,51.45,-26.45,26.45,4,3,3,2,3,1,4,5
95,0,0,2,"awesome",41,0,40,95,0.27,0.4,0.33,40,0.4,0.757,47.35,-7.35,7.35,9,1,2,9,1,1,8,1
33,0,0,7,"damn",32,45,60,90,0.52,0.29,0.19,60,0.29,0.736,57.9,2.1,2.1,4,3,6,5,3,1,2,6
70,0,0,6,"oh",9,15,70,80,0.45,0.29,0.26,80,0.26,0.915,47.85,32.15,32.15,9,1,1,7,1,1,1,1
115,0,0,3,"yay",24,20,60,90,0.33,0.2,0.47,90,0.47,0.719,60.9,29.1,29.1,9,1,1,9,1,1,9,1
22,0,0,2,"awesome",24,20,60,90,0.33,0.2,0.47,90,0.47,0.409,60.9,29.1,29.1,9,1,1,5,1,1,9,1
10,0,0,1,"cool",24,20,60,90,0.33,0.2,0.47,90,0.47,0.719,60.9,29.1,29.1,7,1,1,6,1,1,1,1
