"workerid","occludeFace","occludeWheel","faceID","faceValence","faceArousal","facePath","spinnerID","payoff1","payoff2","payoff3","prob1","prob2","prob3","win","winProb","angleProp","EV","PE","absPE","happy","sad","anger","surprise","disgust","fear","content","disapp"
421,1,0,NA,NA,NA,NA,14,30,50,95,0.33,0.29,0.38,50,0.29,0.367,60.5,-10.5,10.5,8,1,1,6,1,1,8,1
8,1,0,NA,NA,NA,NA,14,30,50,95,0.33,0.29,0.38,50,0.29,0.334,60.5,-10.5,10.5,7,1,1,3,1,1,8,1
89,1,0,NA,NA,NA,NA,32,45,60,90,0.52,0.29,0.19,60,0.29,0.204,57.9,2.1,2.1,7,1,3,6,1,1,6,4
299,1,0,NA,NA,NA,NA,16,25,60,100,0.45,0.37,0.18,25,0.45,0.624,51.45,-26.45,26.45,5,1,3,2,1,1,5,3
75,1,0,NA,NA,NA,NA,14,30,50,95,0.33,0.29,0.38,50,0.29,0.578,60.5,-10.5,10.5,6,3,2,1,1,1,1,3
88,1,0,NA,NA,NA,NA,47,55,70,85,0.28,0.51,0.21,70,0.51,0.036,68.95,1.05,1.05,7,2,1,2,1,1,6,4
26,1,0,NA,NA,NA,NA,47,55,70,85,0.28,0.51,0.21,70,0.51,0.062,68.95,1.05,1.05,9,1,1,6,1,3,7,5
81,1,0,NA,NA,NA,NA,16,25,60,100,0.45,0.37,0.18,25,0.45,0.991,51.45,-26.45,26.45,3,4,5,6,2,2,4,6
464,1,0,NA,NA,NA,NA,49,50,75,90,0.3,0.52,0.18,50,0.3,0.279,70.2,-20.2,20.2,7,1,1,6,1,1,6,6
135,1,0,NA,NA,NA,NA,32,45,60,90,0.52,0.29,0.19,60,0.29,0.916,57.9,2.1,2.1,8,1,1,8,1,1,8,1
356,1,0,NA,NA,NA,NA,41,0,40,95,0.27,0.4,0.33,40,0.4,0.957,47.35,-7.35,7.35,7,2,1,5,1,1,7,2
293,1,0,NA,NA,NA,NA,49,50,75,90,0.3,0.52,0.18,50,0.3,0.352,70.2,-20.2,20.2,8,2,1,5,1,1,1,1
47,1,0,NA,NA,NA,NA,32,45,60,90,0.52,0.29,0.19,60,0.29,0.762,57.9,2.1,2.1,6,4,1,3,1,1,4,3
4,1,0,NA,NA,NA,NA,9,15,70,80,0.45,0.29,0.26,80,0.26,0.622,47.85,32.15,32.15,9,1,1,6,1,1,1,1
314,1,0,NA,NA,NA,NA,14,30,50,95,0.33,0.29,0.38,50,0.29,0.721,60.5,-10.5,10.5,7,4,2,6,1,1,5,6
71,1,0,NA,NA,NA,NA,49,50,75,90,0.3,0.52,0.18,50,0.3,0.344,70.2,-20.2,20.2,6,4,4,6,3,3,6,6
389,1,0,NA,NA,NA,NA,32,45,60,90,0.52,0.29,0.19,60,0.29,0.414,57.9,2.1,2.1,7,1,1,3,1,1,9,1
134,1,0,NA,NA,NA,NA,12,20,45,70,0.4,0.34,0.26,70,0.26,0.31,41.5,28.5,28.5,9,1,1,9,1,1,5,1
320,1,0,NA,NA,NA,NA,14,30,50,95,0.33,0.29,0.38,50,0.29,0.235,60.5,-10.5,10.5,8,1,1,5,1,1,7,3
425,1,0,NA,NA,NA,NA,14,30,50,95,0.33,0.29,0.38,50,0.29,0.489,60.5,-10.5,10.5,6,1,1,1,1,1,6,3
201,1,0,NA,NA,NA,NA,12,20,45,70,0.4,0.34,0.26,70,0.26,0.515,41.5,28.5,28.5,9,1,1,9,1,1,9,1
428,1,0,NA,NA,NA,NA,12,20,45,70,0.4,0.34,0.26,70,0.26,0.144,41.5,28.5,28.5,7,2,1,4,1,2,7,2
251,1,0,NA,NA,NA,NA,49,50,75,90,0.3,0.52,0.18,50,0.3,0.178,70.2,-20.2,20.2,7,6,1,1,1,1,1,1
334,1,0,NA,NA,NA,NA,9,15,70,80,0.45,0.29,0.26,80,0.26,0.392,47.85,32.15,32.15,8,1,1,8,1,1,9,1
372,1,0,NA,NA,NA,NA,47,55,70,85,0.28,0.51,0.21,70,0.51,0.662,68.95,1.05,1.05,8,2,3,8,3,2,7,4
74,1,0,NA,NA,NA,NA,1,0,30,60,0.38,0.36,0.26,0,0.38,0.108,26.4,-26.4,26.4,3,6,6,3,4,4,2,8
197,1,0,NA,NA,NA,NA,41,0,40,95,0.27,0.4,0.33,40,0.4,0.175,47.35,-7.35,7.35,7,3,4,6,1,1,6,4
163,1,0,NA,NA,NA,NA,9,15,70,80,0.45,0.29,0.26,80,0.26,0.11,47.85,32.15,32.15,9,1,1,7,1,1,9,1
426,1,0,NA,NA,NA,NA,9,15,70,80,0.45,0.29,0.26,80,0.26,0.07,47.85,32.15,32.15,9,1,1,9,1,1,8,1
300,1,0,NA,NA,NA,NA,47,55,70,85,0.28,0.51,0.21,70,0.51,0.627,68.95,1.05,1.05,8,2,2,8,2,2,8,2
127,1,0,NA,NA,NA,NA,1,0,30,60,0.38,0.36,0.26,0,0.38,0.878,26.4,-26.4,26.4,1,8,2,5,1,1,1,9
398,1,0,NA,NA,NA,NA,47,55,70,85,0.28,0.51,0.21,70,0.51,0.878,68.95,1.05,1.05,8,1,1,7,1,1,7,1
193,1,0,NA,NA,NA,NA,24,20,60,90,0.33,0.2,0.47,90,0.47,0.885,60.9,29.1,29.1,9,1,1,7,1,1,9,1
322,1,0,NA,NA,NA,NA,49,50,75,90,0.3,0.52,0.18,50,0.3,0.497,70.2,-20.2,20.2,3,8,5,6,3,1,3,9
450,1,0,NA,NA,NA,NA,9,15,70,80,0.45,0.29,0.26,80,0.26,0.365,47.85,32.15,32.15,9,1,1,9,1,1,9,1
60,1,0,NA,NA,NA,NA,9,15,70,80,0.45,0.29,0.26,80,0.26,0.922,47.85,32.15,32.15,9,1,1,9,1,1,9,1
157,1,0,NA,NA,NA,NA,49,50,75,90,0.3,0.52,0.18,50,0.3,0.103,70.2,-20.2,20.2,7,1,1,6,1,1,1,3
39,1,0,NA,NA,NA,NA,47,55,70,85,0.28,0.51,0.21,70,0.51,0.015,68.95,1.05,1.05,8,1,1,3,1,1,8,1
427,1,0,NA,NA,NA,NA,47,55,70,85,0.28,0.51,0.21,70,0.51,0.655,68.95,1.05,1.05,9,1,1,8,1,1,7,1
18,1,0,NA,NA,NA,NA,41,0,40,95,0.27,0.4,0.33,40,0.4,0.565,47.35,-7.35,7.35,7,1,1,7,1,1,1,1
228,1,0,NA,NA,NA,NA,32,45,60,90,0.52,0.29,0.19,60,0.29,0.629,57.9,2.1,2.1,7,2,1,3,1,1,1,2
452,1,0,NA,NA,NA,NA,49,50,75,90,0.3,0.52,0.18,50,0.3,0.873,70.2,-20.2,20.2,7,5,5,5,5,5,6,5
441,1,0,NA,NA,NA,NA,9,15,70,80,0.45,0.29,0.26,80,0.26,0.529,47.85,32.15,32.15,9,1,1,7,1,1,8,1
362,1,0,NA,NA,NA,NA,49,50,75,90,0.3,0.52,0.18,50,0.3,0.99,70.2,-20.2,20.2,7,1,1,7,1,1,5,3
231,1,0,NA,NA,NA,NA,9,15,70,80,0.45,0.29,0.26,80,0.26,0.346,47.85,32.15,32.15,9,1,1,6,1,1,9,1
103,1,0,NA,NA,NA,NA,24,20,60,90,0.33,0.2,0.47,90,0.47,0.021,60.9,29.1,29.1,9,1,1,9,1,1,9,1
140,1,0,NA,NA,NA,NA,41,0,40,95,0.27,0.4,0.33,40,0.4,0.418,47.35,-7.35,7.35,7,1,1,6,1,1,1,2
