"workerid","occludeUtterance","occludeWheel","utteranceID","utterance","spinnerID","payoff1","payoff2","payoff3","prob1","prob2","prob3","win","winProb","angleProp","EV","PE","absPE","happy","sad","anger","surprise","disgust","fear","content","disapp"
10,1,0,NA,NA,12,20,45,70,0.4,0.34,0.26,70,0.26,0.015,41.5,28.5,28.5,9,1,1,9,1,1,1,1
40,1,0,NA,NA,1,0,30,60,0.38,0.36,0.26,0,0.38,0.053,26.4,-26.4,26.4,1,9,9,9,9,9,1,9
24,1,0,NA,NA,24,20,60,90,0.33,0.2,0.47,90,0.47,0.883,60.9,29.1,29.1,9,1,1,5,1,1,9,1
94,1,0,NA,NA,14,30,50,95,0.33,0.29,0.38,50,0.29,0.507,60.5,-10.5,10.5,7,3,1,2,1,1,3,7
141,1,0,NA,NA,41,0,40,95,0.27,0.4,0.33,40,0.4,0.274,47.35,-7.35,7.35,5,2,1,1,1,1,5,2
107,1,0,NA,NA,32,45,60,90,0.52,0.29,0.19,60,0.29,0.393,57.9,2.1,2.1,6,4,3,5,4,1,6,4
55,1,0,NA,NA,49,50,75,90,0.3,0.52,0.18,50,0.3,0.169,70.2,-20.2,20.2,6,3,1,1,1,1,7,2
97,1,0,NA,NA,24,20,60,90,0.33,0.2,0.47,90,0.47,0.559,60.9,29.1,29.1,9,1,1,9,1,1,9,1
108,1,0,NA,NA,12,20,45,70,0.4,0.34,0.26,70,0.26,0.379,41.5,28.5,28.5,9,1,1,9,1,1,9,1
132,1,0,NA,NA,41,0,40,95,0.27,0.4,0.33,40,0.4,0.821,47.35,-7.35,7.35,6,4,3,3,2,1,5,3
101,1,0,NA,NA,24,20,60,90,0.33,0.2,0.47,90,0.47,0.621,60.9,29.1,29.1,8,1,1,5,1,1,4,2
21,1,0,NA,NA,32,45,60,90,0.52,0.29,0.19,60,0.29,0.371,57.9,2.1,2.1,7,1,1,6,1,1,9,4
45,1,0,NA,NA,47,55,70,85,0.28,0.51,0.21,70,0.51,0.239,68.95,1.05,1.05,7,2,1,2,1,1,8,2
56,1,0,NA,NA,14,30,50,95,0.33,0.29,0.38,50,0.29,0.485,60.5,-10.5,10.5,6,3,3,4,3,3,5,4
48,1,0,NA,NA,41,0,40,95,0.27,0.4,0.33,40,0.4,0.023,47.35,-7.35,7.35,7,1,1,8,1,1,9,3
46,1,0,NA,NA,9,15,70,80,0.45,0.29,0.26,80,0.26,0.593,47.85,32.15,32.15,9,1,1,9,1,1,9,1
118,1,0,NA,NA,47,55,70,85,0.28,0.51,0.21,70,0.51,0.64,68.95,1.05,1.05,6,3,2,4,1,1,6,2
4,1,0,NA,NA,41,0,40,95,0.27,0.4,0.33,40,0.4,0.633,47.35,-7.35,7.35,7,2,1,5,1,1,7,2
18,1,0,NA,NA,47,55,70,85,0.28,0.51,0.21,70,0.51,0.548,68.95,1.05,1.05,8,1,1,7,1,1,6,1
38,1,0,NA,NA,24,20,60,90,0.33,0.2,0.47,90,0.47,0.26,60.9,29.1,29.1,9,1,1,6,1,1,9,1
122,1,0,NA,NA,9,15,70,80,0.45,0.29,0.26,80,0.26,0.819,47.85,32.15,32.15,9,1,1,8,1,1,9,1
17,1,0,NA,NA,24,20,60,90,0.33,0.2,0.47,90,0.47,0.617,60.9,29.1,29.1,9,1,1,9,1,1,8,1
75,1,0,NA,NA,9,15,70,80,0.45,0.29,0.26,80,0.26,0.564,47.85,32.15,32.15,9,1,1,7,1,1,8,1
91,1,0,NA,NA,47,55,70,85,0.28,0.51,0.21,70,0.51,0.637,68.95,1.05,1.05,9,1,1,9,1,1,9,1
98,1,0,NA,NA,1,0,30,60,0.38,0.36,0.26,0,0.38,0.294,26.4,-26.4,26.4,2,5,6,7,7,2,1,8
58,1,0,NA,NA,9,15,70,80,0.45,0.29,0.26,80,0.26,0.852,47.85,32.15,32.15,9,1,1,6,1,1,8,1
